tmean,j_day
16.23,1360
16.23,1361
16.23,1362
16.23,1363
16.23,1364
16.23,1365
16.23,1366
16.23,1367
16.23,1368
9.82,1369
9.82,1370
9.82,1371
9.82,1372
9.82,1373
9.82,1374
9.82,1375
9.82,1376
9.82,1377
9.82,1378
9.82,1379
9.82,1380
9.82,1381
9.82,1382
9.82,1383
9.82,1384
9.82,1385
9.82,1386
9.82,1387
9.82,1388
9.82,1389
9.82,1390
9.82,1391
9.82,1392
9.82,1393
9.82,1394
9.82,1395
9.82,1396
9.82,1397
9.82,1398
9.82,1399
4.21,1400
4.21,1401
4.21,1402
4.21,1403
4.21,1404
4.21,1405
4.21,1406
4.21,1407
4.21,1408
4.21,1409
4.21,1410
4.21,1411
4.21,1412
4.21,1413
4.21,1414
4.21,1415
4.21,1416
4.21,1417
4.21,1418
4.21,1419
4.21,1420
4.21,1421
4.21,1422
4.21,1423
4.21,1424
4.21,1425
4.21,1426
4.21,1427
4.21,1428
4.21,1429
-0,1430
-0,1431
-0,1432
-0,1433
-0,1434
-0,1435
-0,1436
-0,1437
-0,1438
-0,1439
-0,1440
-0,1441
-0,1442
-0,1443
-0,1444
-0,1445
-0,1446
-0,1447
-0,1448
-0,1449
-0,1450
-0,1451
-0,1452
-0,1453
-0,1454
-0,1455
-0,1456
-0,1457
-0,1458
-0,1459
-0,1460
-0,1461
-0,1462
-0,1463
-0,1464
-0,1465
-0,1466
-0,1467
-0,1468
-0,1469
-0,1470
-0,1471
-0,1472
-0,1473
-0,1474
-0,1475
-0,1476
-0,1477
-0,1478
-0,1479
-0,1480
-0,1481
-0,1482
-0,1483
-0,1484
-0,1485
-0,1486
-0,1487
-0,1488
-0,1489
-0,1490
-0,1491
-0,1492
-0,1493
-0,1494
-0,1495
-0,1496
-0,1497
-0,1498
-0,1499
-0,1500
-0,1501
-0,1502
-0,1503
-0,1504
-0,1505
-0,1506
-0,1507
-0,1508
-0,1509
-0,1510
-0,1511
-0,1512
-0,1513
-0,1514
-0,1515
-0,1516
-0,1517
-0,1518
-0,1519
0.26,1520
0.26,1521
0.26,1522
0.26,1523
0.26,1524
0.26,1525
0.26,1526
0.26,1527
0.26,1528
0.26,1529
0.26,1530
0.26,1531
0.26,1532
0.26,1533
0.26,1534
0.26,1535
0.26,1536
0.26,1537
0.26,1538
0.26,1539
0.26,1540
0.26,1541
0.26,1542
0.26,1543
0.26,1544
0.26,1545
0.26,1546
0.26,1547
0.26,1548
0.26,1549
0.26,1550
6.23,1551
6.23,1552
6.23,1553
6.23,1554
6.23,1555
6.23,1556
6.23,1557
6.23,1558
6.23,1559
6.23,1560
6.23,1561
6.23,1562
6.23,1563
6.23,1564
6.23,1565
6.23,1566
6.23,1567
6.23,1568
6.23,1569
6.23,1570
6.23,1571
6.23,1572
6.23,1573
6.23,1574
6.23,1575
6.23,1576
6.23,1577
6.23,1578
6.23,1579
6.23,1580
12.54,1581
12.54,1582
12.54,1583
12.54,1584
12.54,1585
12.54,1586
12.54,1587
12.54,1588
12.54,1589
12.54,1590
12.54,1591
12.54,1592
12.54,1593
12.54,1594
12.54,1595
12.54,1596
12.54,1597
12.54,1598
12.54,1599
12.54,1600
12.54,1601
12.54,1602
12.54,1603
12.54,1604
12.54,1605
12.54,1606
12.54,1607
12.54,1608
12.54,1609
12.54,1610
12.54,1611
17.72,1612
17.72,1613
17.72,1614
17.72,1615
17.72,1616
17.72,1617
17.72,1618
17.72,1619
17.72,1620
17.72,1621
17.72,1622
17.72,1623
17.72,1624
17.72,1625
17.72,1626
17.72,1627
17.72,1628
17.72,1629
17.72,1630
17.72,1631
17.72,1632
17.72,1633
17.72,1634
17.72,1635
17.72,1636
17.72,1637
17.72,1638
17.72,1639
17.72,1640
17.72,1641
20.79,1642
20.79,1643
20.79,1644
20.79,1645
20.79,1646
20.79,1647
20.79,1648
20.79,1649
20.79,1650
20.79,1651
20.79,1652
20.79,1653
20.79,1654
20.79,1655
20.79,1656
