day,stage,pop,age_group,process,infected
20,eia,0,a,e,TRUE
20,fia,0,a,f,TRUE
20,fua,0,a,f,FALSE
20,dia,0,a,d,TRUE
20,dua,0,a,d,FALSE
20,qia,0,a,q,TRUE
20,qin,0,n,q,TRUE
20,qua,0,a,q,FALSE
20,qun,0,n,q,FALSE
21,__e,27694.094139461668,e,_,FALSE
21,eil,0,l,e,TRUE
21,eul,0,l,e,FALSE
21,d_l,0,l,d,FALSE
21,f_l,0,l,f,FALSE
21,ein,0,n,e,TRUE
21,eun,0,n,e,FALSE
21,din,0,n,d,TRUE
21,dun,0,n,d,FALSE
21,fin,0,n,f,TRUE
21,fun,0,n,f,FALSE
21,h_l,0,l,h,FALSE
21,q_l,0,l,q,FALSE
21,eua,0,a,e,FALSE
21,eia,0,a,e,TRUE
21,fia,0,a,f,TRUE
21,fua,0,a,f,FALSE
21,dia,0,a,d,TRUE
21,dua,0,a,d,FALSE
21,qia,0,a,q,TRUE
21,qin,0,n,q,TRUE
21,qua,0,a,q,FALSE
21,qun,0,n,q,FALSE
22,__e,27694.094139461668,e,_,FALSE
22,eil,0,l,e,TRUE
22,eul,0,l,e,FALSE
22,d_l,0,l,d,FALSE
22,f_l,0,l,f,FALSE
22,ein,0,n,e,TRUE
22,eun,0,n,e,FALSE
22,din,0,n,d,TRUE
22,dun,0,n,d,FALSE
22,fin,0,n,f,TRUE
22,fun,0,n,f,FALSE
22,h_l,0,l,h,FALSE
22,q_l,0,l,q,FALSE
22,eua,0,a,e,FALSE
22,eia,0,a,e,TRUE
22,fia,0,a,f,TRUE
22,fua,0,a,f,FALSE
22,dia,0,a,d,TRUE
22,dua,0,a,d,FALSE
22,qia,0,a,q,TRUE
22,qin,0,n,q,TRUE
22,qua,0,a,q,FALSE
22,qun,0,n,q,FALSE
23,__e,27694.094139461668,e,_,FALSE
23,eil,0,l,e,TRUE
23,eul,0,l,e,FALSE
23,d_l,0,l,d,FALSE
23,f_l,0,l,f,FALSE
23,ein,0,n,e,TRUE
23,eun,0,n,e,FALSE
23,din,0,n,d,TRUE
23,dun,0,n,d,FALSE
23,fin,0,n,f,TRUE
23,fun,0,n,f,FALSE
23,h_l,0,l,h,FALSE
23,q_l,0,l,q,FALSE
23,eua,0,a,e,FALSE
23,eia,0,a,e,TRUE
23,fia,0,a,f,TRUE
23,fua,0,a,f,FALSE
23,dia,0,a,d,TRUE
23,dua,0,a,d,FALSE
23,qia,0,a,q,TRUE
23,qin,0,n,q,TRUE
23,qua,0,a,q,FALSE
23,qun,0,n,q,FALSE
24,__e,27694.094139461668,e,_,FALSE
24,eil,0,l,e,TRUE
24,eul,0,l,e,FALSE
24,d_l,0,l,d,FALSE
24,f_l,0,l,f,FALSE
24,ein,0,n,e,TRUE
24,eun,0,n,e,FALSE
24,din,0,n,d,TRUE
24,dun,0,n,d,FALSE
24,fin,0,n,f,TRUE
24,fun,0,n,f,FALSE
24,h_l,0,l,h,FALSE
24,q_l,0,l,q,FALSE
24,eua,0,a,e,FALSE
24,eia,0,a,e,TRUE
24,fia,0,a,f,TRUE
24,fua,0,a,f,FALSE
24,dia,0,a,d,TRUE
24,dua,0,a,d,FALSE
24,qia,0,a,q,TRUE
24,qin,0,n,q,TRUE
24,qua,0,a,q,FALSE
24,qun,0,n,q,FALSE
25,__e,27694.094139461668,e,_,FALSE
25,eil,0,l,e,TRUE
25,eul,0,l,e,FALSE
25,d_l,0,l,d,FALSE
25,f_l,0,l,f,FALSE
25,ein,0,n,e,TRUE
25,eun,0,n,e,FALSE
25,din,0,n,d,TRUE
25,dun,0,n,d,FALSE
25,fin,0,n,f,TRUE
25,fun,0,n,f,FALSE
25,h_l,0,l,h,FALSE
25,q_l,0,l,q,FALSE
25,eua,0,a,e,FALSE
25,eia,0,a,e,TRUE
25,fia,0,a,f,TRUE
25,fua,0,a,f,FALSE
25,dia,0,a,d,TRUE
25,dua,0,a,d,FALSE
25,qia,0,a,q,TRUE
25,qin,0,n,q,TRUE
25,qua,0,a,q,FALSE
25,qun,0,n,q,FALSE
26,__e,27694.094139461668,e,_,FALSE
26,eil,0,l,e,TRUE
26,eul,0,l,e,FALSE
26,d_l,0,l,d,FALSE
26,f_l,0,l,f,FALSE
26,ein,0,n,e,TRUE
26,eun,0,n,e,FALSE
26,din,0,n,d,TRUE
26,dun,0,n,d,FALSE
26,fin,0,n,f,TRUE
26,fun,0,n,f,FALSE
26,h_l,0,l,h,FALSE
26,q_l,0,l,q,FALSE
26,eua,0,a,e,FALSE
26,eia,0,a,e,TRUE
26,fia,0,a,f,TRUE
26,fua,0,a,f,FALSE
26,dia,0,a,d,TRUE
26,dua,0,a,d,FALSE
26,qia,0,a,q,TRUE
26,qin,0,n,q,TRUE
26,qua,0,a,q,FALSE
26,qun,0,n,q,FALSE
27,__e,27694.094139461668,e,_,FALSE
27,eil,0,l,e,TRUE
27,eul,0,l,e,FALSE
27,d_l,0,l,d,FALSE
27,f_l,0,l,f,FALSE
27,ein,0,n,e,TRUE
27,eun,0,n,e,FALSE
27,din,0,n,d,TRUE
27,dun,0,n,d,FALSE
27,fin,0,n,f,TRUE
27,fun,0,n,f,FALSE
27,h_l,0,l,h,FALSE
27,q_l,0,l,q,FALSE
27,eua,0,a,e,FALSE
27,eia,0,a,e,TRUE
27,fia,0,a,f,TRUE
27,fua,0,a,f,FALSE
27,dia,0,a,d,TRUE
27,dua,0,a,d,FALSE
27,qia,0,a,q,TRUE
27,qin,0,n,q,TRUE
27,qua,0,a,q,FALSE
27,qun,0,n,q,FALSE
28,__e,27694.094139461668,e,_,FALSE
28,eil,0,l,e,TRUE
28,eul,0,l,e,FALSE
28,d_l,0,l,d,FALSE
28,f_l,0,l,f,FALSE
28,ein,0,n,e,TRUE
28,eun,0,n,e,FALSE
28,din,0,n,d,TRUE
28,dun,0,n,d,FALSE
28,fin,0,n,f,TRUE
28,fun,0,n,f,FALSE
28,h_l,0,l,h,FALSE
28,q_l,0,l,q,FALSE
28,eua,0,a,e,FALSE
28,eia,0,a,e,TRUE
28,fia,0,a,f,TRUE
28,fua,0,a,f,FALSE
28,dia,0,a,d,TRUE
28,dua,0,a,d,FALSE
28,qia,0,a,q,TRUE
28,qin,0,n,q,TRUE
28,qua,0,a,q,FALSE
28,qun,0,n,q,FALSE
29,__e,27694.094139461668,e,_,FALSE
29,eil,0,l,e,TRUE
29,eul,0,l,e,FALSE
29,d_l,0,l,d,FALSE
29,f_l,0,l,f,FALSE
29,ein,0,n,e,TRUE
29,eun,0,n,e,FALSE
29,din,0,n,d,TRUE
29,dun,0,n,d,FALSE
29,fin,0,n,f,TRUE
29,fun,0,n,f,FALSE
29,h_l,0,l,h,FALSE
29,q_l,0,l,q,FALSE
29,eua,0,a,e,FALSE
29,eia,0,a,e,TRUE
29,fia,0,a,f,TRUE
29,fua,0,a,f,FALSE
29,dia,0,a,d,TRUE
29,dua,0,a,d,FALSE
29,qia,0,a,q,TRUE
29,qin,0,n,q,TRUE
29,qua,0,a,q,FALSE
29,qun,0,n,q,FALSE
30,__e,27694.094139461668,e,_,FALSE
30,eil,0,l,e,TRUE
30,eul,0,l,e,FALSE
30,d_l,0,l,d,FALSE
30,f_l,0,l,f,FALSE
30,ein,0,n,e,TRUE
30,eun,0,n,e,FALSE
30,din,0,n,d,TRUE
30,dun,0,n,d,FALSE
30,fin,0,n,f,TRUE
30,fun,0,n,f,FALSE
30,h_l,0,l,h,FALSE
30,q_l,0,l,q,FALSE
30,eua,0,a,e,FALSE
30,eia,0,a,e,TRUE
30,fia,0,a,f,TRUE
30,fua,0,a,f,FALSE
30,dia,0,a,d,TRUE
30,dua,0,a,d,FALSE
30,qia,0,a,q,TRUE
30,qin,0,n,q,TRUE
