host_spp,j_day,host_den
squirrel,301,8
deer,301,0.25
mouse,302,40
squirrel,302,8
deer,302,0.25
mouse,303,40
squirrel,303,8
deer,303,0.25
mouse,304,40
squirrel,304,8
deer,304,0.25
mouse,305,40
squirrel,305,8
deer,305,0.25
mouse,306,40
squirrel,306,8
deer,306,0.25
mouse,307,40
squirrel,307,8
deer,307,0.25
mouse,308,40
squirrel,308,8
deer,308,0.25
mouse,309,40
squirrel,309,8
deer,309,0.25
mouse,310,40
squirrel,310,8
deer,310,0.25
mouse,311,40
squirrel,311,8
deer,311,0.25
mouse,312,40
squirrel,312,8
deer,312,0.25
mouse,313,40
squirrel,313,8
deer,313,0.25
mouse,314,40
squirrel,314,8
deer,314,0.25
mouse,315,40
squirrel,315,8
deer,315,0.25
mouse,316,40
squirrel,316,8
deer,316,0.25
mouse,317,40
squirrel,317,8
deer,317,0.25
mouse,318,40
squirrel,318,8
deer,318,0.25
mouse,319,40
squirrel,319,8
deer,319,0.25
mouse,320,40
squirrel,320,8
deer,320,0.25
mouse,321,40
squirrel,321,8
deer,321,0.25
mouse,322,40
squirrel,322,8
deer,322,0.25
mouse,323,40
squirrel,323,8
deer,323,0.25
mouse,324,40
squirrel,324,8
deer,324,0.25
mouse,325,40
squirrel,325,8
deer,325,0.25
mouse,326,40
squirrel,326,8
deer,326,0.25
mouse,327,40
squirrel,327,8
deer,327,0.25
mouse,328,40
squirrel,328,8
deer,328,0.25
mouse,329,40
squirrel,329,8
deer,329,0.25
mouse,330,40
squirrel,330,8
deer,330,0.25
mouse,331,40
squirrel,331,8
deer,331,0.25
mouse,332,40
squirrel,332,8
deer,332,0.25
mouse,333,40
squirrel,333,8
deer,333,0.25
mouse,334,40
squirrel,334,8
deer,334,0.25
mouse,335,40
squirrel,335,8
deer,335,0.25
mouse,336,40
squirrel,336,8
deer,336,0.25
mouse,337,40
squirrel,337,8
deer,337,0.25
mouse,338,40
squirrel,338,8
deer,338,0.25
mouse,339,40
squirrel,339,8
deer,339,0.25
mouse,340,40
squirrel,340,8
deer,340,0.25
mouse,341,40
squirrel,341,8
deer,341,0.25
mouse,342,40
squirrel,342,8
deer,342,0.25
mouse,343,40
squirrel,343,8
deer,343,0.25
mouse,344,40
squirrel,344,8
deer,344,0.25
mouse,345,40
squirrel,345,8
deer,345,0.25
mouse,346,40
squirrel,346,8
deer,346,0.25
mouse,347,40
squirrel,347,8
deer,347,0.25
mouse,348,40
squirrel,348,8
deer,348,0.25
mouse,349,40
squirrel,349,8
deer,349,0.25
mouse,350,40
squirrel,350,8
deer,350,0.25
mouse,351,40
squirrel,351,8
deer,351,0.25
mouse,352,40
squirrel,352,8
deer,352,0.25
mouse,353,40
squirrel,353,8
deer,353,0.25
mouse,354,40
squirrel,354,8
deer,354,0.25
mouse,355,40
squirrel,355,8
deer,355,0.25
mouse,356,40
squirrel,356,8
deer,356,0.25
mouse,357,40
squirrel,357,8
deer,357,0.25
mouse,358,40
squirrel,358,8
deer,358,0.25
mouse,359,40
squirrel,359,8
deer,359,0.25
mouse,360,40
squirrel,360,8
deer,360,0.25
