j_day,host_spp,host_den
3913,deer,8
3913,mouse,100
3913,squirrel,8
3914,deer,8
3914,mouse,100
3914,squirrel,8
3915,deer,8
3915,mouse,100
3915,squirrel,8
3916,deer,8
3916,mouse,100
3916,squirrel,8
3917,deer,8
3917,mouse,100
3917,squirrel,8
3918,deer,8
3918,mouse,100
3918,squirrel,8
3919,deer,8
3919,mouse,100
3919,squirrel,8
3920,deer,8
3920,mouse,100
3920,squirrel,8
3921,deer,8
3921,mouse,100
3921,squirrel,8
3922,deer,8
3922,mouse,100
3922,squirrel,8
3923,deer,8
3923,mouse,100
3923,squirrel,8
3924,deer,8
3924,mouse,100
3924,squirrel,8
3925,deer,8
3925,mouse,100
3925,squirrel,8
3926,deer,8
3926,mouse,100
3926,squirrel,8
3927,deer,8
3927,mouse,100
3927,squirrel,8
3928,deer,8
3928,mouse,100
3928,squirrel,8
3929,deer,8
3929,mouse,100
3929,squirrel,8
3930,deer,8
3930,mouse,100
3930,squirrel,8
3931,deer,8
3931,mouse,100
3931,squirrel,8
3932,deer,8
3932,mouse,100
3932,squirrel,8
3933,deer,8
3933,mouse,100
3933,squirrel,8
3934,deer,8
3934,mouse,100
3934,squirrel,8
3935,deer,8
3935,mouse,100
3935,squirrel,8
3936,deer,8
3936,mouse,100
3936,squirrel,8
3937,deer,8
3937,mouse,100
