day,stage,pop,age_group,process,infected
48,e_n,0,n,e,FALSE
48,a_l,0,l,a,FALSE
48,a_n,0,n,a,FALSE
48,h_l,0,l,h,FALSE
48,q_l,0,l,q,FALSE
48,e_a,0,a,e,FALSE
48,r_a,0,a,r,FALSE
48,a_a,0,a,a,FALSE
48,q_a,7536.332770116889,a,q,FALSE
48,q_n,0,n,q,FALSE
49,__e,0,e,_,FALSE
49,e_l,0,l,e,FALSE
49,e_n,0,n,e,FALSE
49,a_l,0,l,a,FALSE
49,a_n,0,n,a,FALSE
49,h_l,0,l,h,FALSE
49,q_l,0,l,q,FALSE
49,e_a,0,a,e,FALSE
49,r_a,0,a,r,FALSE
49,a_a,0,a,a,FALSE
49,q_a,7491.114773496188,a,q,FALSE
49,q_n,0,n,q,FALSE
50,__e,0,e,_,FALSE
50,e_l,0,l,e,FALSE
50,e_n,0,n,e,FALSE
50,a_l,0,l,a,FALSE
50,a_n,0,n,a,FALSE
50,h_l,0,l,h,FALSE
50,q_l,0,l,q,FALSE
50,e_a,0,a,e,FALSE
50,r_a,0,a,r,FALSE
50,a_a,0,a,a,FALSE
50,q_a,7446.1680848552105,a,q,FALSE
50,q_n,0,n,q,FALSE
51,__e,0,e,_,FALSE
51,e_l,0,l,e,FALSE
51,e_n,0,n,e,FALSE
51,a_l,0,l,a,FALSE
51,a_n,0,n,a,FALSE
51,h_l,0,l,h,FALSE
51,q_l,0,l,q,FALSE
51,e_a,0,a,e,FALSE
51,r_a,0,a,r,FALSE
51,a_a,0,a,a,FALSE
51,q_a,7401.491076346079,a,q,FALSE
51,q_n,0,n,q,FALSE
52,__e,0,e,_,FALSE
52,e_l,0,l,e,FALSE
52,e_n,0,n,e,FALSE
52,a_l,0,l,a,FALSE
52,a_n,0,n,a,FALSE
52,h_l,0,l,h,FALSE
52,q_l,0,l,q,FALSE
52,e_a,0,a,e,FALSE
52,r_a,0,a,r,FALSE
52,a_a,0,a,a,FALSE
52,q_a,7357.082129888003,a,q,FALSE
52,q_n,0,n,q,FALSE
53,__e,0,e,_,FALSE
53,e_l,0,l,e,FALSE
53,e_n,0,n,e,FALSE
53,a_l,0,l,a,FALSE
53,a_n,0,n,a,FALSE
53,h_l,0,l,h,FALSE
53,q_l,0,l,q,FALSE
53,e_a,0,a,e,FALSE
53,r_a,0,a,r,FALSE
53,a_a,0,a,a,FALSE
53,q_a,7312.939637108675,a,q,FALSE
53,q_n,0,n,q,FALSE
54,__e,0,e,_,FALSE
54,e_l,0,l,e,FALSE
54,e_n,0,n,e,FALSE
54,a_l,0,l,a,FALSE
54,a_n,0,n,a,FALSE
54,h_l,0,l,h,FALSE
54,q_l,0,l,q,FALSE
54,e_a,0,a,e,FALSE
54,r_a,0,a,r,FALSE
54,a_a,0,a,a,FALSE
54,q_a,7269.061999286023,a,q,FALSE
54,q_n,0,n,q,FALSE
55,__e,0,e,_,FALSE
55,e_l,0,l,e,FALSE
55,e_n,0,n,e,FALSE
55,a_l,0,l,a,FALSE
55,a_n,0,n,a,FALSE
55,h_l,0,l,h,FALSE
55,q_l,0,l,q,FALSE
55,e_a,0,a,e,FALSE
55,r_a,0,a,r,FALSE
55,a_a,0,a,a,FALSE
55,q_a,7225.447627290307,a,q,FALSE
55,q_n,0,n,q,FALSE
56,__e,0,e,_,FALSE
56,e_l,0,l,e,FALSE
56,e_n,0,n,e,FALSE
56,a_l,0,l,a,FALSE
56,a_n,0,n,a,FALSE
56,h_l,0,l,h,FALSE
56,q_l,0,l,q,FALSE
56,e_a,0,a,e,FALSE
56,r_a,0,a,r,FALSE
56,a_a,0,a,a,FALSE
56,q_a,7182.094941526565,a,q,FALSE
56,q_n,0,n,q,FALSE
57,__e,0,e,_,FALSE
57,e_l,0,l,e,FALSE
57,e_n,0,n,e,FALSE
57,a_l,0,l,a,FALSE
57,a_n,0,n,a,FALSE
57,h_l,0,l,h,FALSE
57,q_l,0,l,q,FALSE
57,e_a,0,a,e,FALSE
57,r_a,0,a,r,FALSE
57,a_a,0,a,a,FALSE
57,q_a,7139.0023718774055,a,q,FALSE
57,q_n,0,n,q,FALSE
58,__e,0,e,_,FALSE
58,e_l,0,l,e,FALSE
58,e_n,0,n,e,FALSE
58,a_l,0,l,a,FALSE
58,a_n,0,n,a,FALSE
58,h_l,0,l,h,FALSE
58,q_l,0,l,q,FALSE
58,e_a,0,a,e,FALSE
58,r_a,0,a,r,FALSE
58,a_a,0,a,a,FALSE
58,q_a,7096.168357646141,a,q,FALSE
58,q_n,0,n,q,FALSE
59,__e,0,e,_,FALSE
59,e_l,0,l,e,FALSE
59,e_n,0,n,e,FALSE
59,a_l,0,l,a,FALSE
59,a_n,0,n,a,FALSE
59,h_l,0,l,h,FALSE
59,q_l,0,l,q,FALSE
59,e_a,0,a,e,FALSE
59,r_a,0,a,r,FALSE
59,a_a,0,a,a,FALSE
59,q_a,7053.591347500264,a,q,FALSE
59,q_n,0,n,q,FALSE
60,__e,0,e,_,FALSE
60,e_l,0,l,e,FALSE
60,e_n,0,n,e,FALSE
60,a_l,0,l,a,FALSE
60,a_n,0,n,a,FALSE
60,h_l,0,l,h,FALSE
60,q_l,0,l,q,FALSE
60,e_a,0,a,e,FALSE
60,r_a,0,a,r,FALSE
60,a_a,0,a,a,FALSE
60,q_a,7011.269799415263,a,q,FALSE
60,q_n,0,n,q,FALSE
61,__e,0,e,_,FALSE
61,e_l,0,l,e,FALSE
61,e_n,0,n,e,FALSE
61,a_l,0,l,a,FALSE
61,a_n,0,n,a,FALSE
61,h_l,0,l,h,FALSE
61,q_l,0,l,q,FALSE
61,e_a,0,a,e,FALSE
61,r_a,0,a,r,FALSE
61,a_a,0,a,a,FALSE
61,q_a,6969.202180618771,a,q,FALSE
61,q_n,0,n,q,FALSE
62,__e,0,e,_,FALSE
62,e_l,0,l,e,FALSE
62,e_n,0,n,e,FALSE
62,a_l,0,l,a,FALSE
62,a_n,0,n,a,FALSE
62,h_l,0,l,h,FALSE
62,q_l,0,l,q,FALSE
62,e_a,0,a,e,FALSE
62,r_a,0,a,r,FALSE
62,a_a,0,a,a,FALSE
62,q_a,6927.386967535059,a,q,FALSE
62,q_n,0,n,q,FALSE
63,__e,0,e,_,FALSE
63,e_l,0,l,e,FALSE
63,e_n,0,n,e,FALSE
63,a_l,0,l,a,FALSE
63,a_n,0,n,a,FALSE
63,h_l,0,l,h,FALSE
63,q_l,0,l,q,FALSE
63,e_a,0,a,e,FALSE
63,r_a,0,a,r,FALSE
63,a_a,0,a,a,FALSE
63,q_a,6885.822645729849,a,q,FALSE
63,q_n,0,n,q,FALSE
64,__e,0,e,_,FALSE
64,e_l,0,l,e,FALSE
64,e_n,0,n,e,FALSE
64,a_l,0,l,a,FALSE
64,a_n,0,n,a,FALSE
64,h_l,0,l,h,FALSE
64,q_l,0,l,q,FALSE
64,e_a,0,a,e,FALSE
64,r_a,0,a,r,FALSE
64,a_a,0,a,a,FALSE
64,q_a,6844.507709855469,a,q,FALSE
64,q_n,0,n,q,FALSE
65,__e,0,e,_,FALSE
65,e_l,0,l,e,FALSE
65,e_n,0,n,e,FALSE
65,a_l,0,l,a,FALSE
65,a_n,0,n,a,FALSE
65,h_l,0,l,h,FALSE
65,q_l,0,l,q,FALSE
65,e_a,0,a,e,FALSE
65,r_a,0,a,r,FALSE
65,a_a,0,a,a,FALSE
65,q_a,6803.440663596337,a,q,FALSE
65,q_n,0,n,q,FALSE
66,__e,0,e,_,FALSE
66,e_l,0,l,e,FALSE
66,e_n,0,n,e,FALSE
66,a_l,0,l,a,FALSE
66,a_n,0,n,a,FALSE
66,h_l,0,l,h,FALSE
66,q_l,0,l,q,FALSE
66,e_a,0,a,e,FALSE
66,r_a,0,a,r,FALSE
66,a_a,0,a,a,FALSE
66,q_a,6762.620019614759,a,q,FALSE
66,q_n,0,n,q,FALSE
67,__e,0,e,_,FALSE
67,e_l,0,l,e,FALSE
67,e_n,0,n,e,FALSE
67,a_l,0,l,a,FALSE
67,a_n,0,n,a,FALSE
67,h_l,0,l,h,FALSE
67,q_l,0,l,q,FALSE
67,e_a,0,a,e,FALSE
