value,j_day,pred,pred_subcategory
9.82,1030,temp,NA
9.82,1031,temp,NA
9.82,1032,temp,NA
9.82,1033,temp,NA
9.82,1034,temp,NA
4.21,1035,temp,NA
4.21,1036,temp,NA
4.21,1037,temp,NA
4.21,1038,temp,NA
4.21,1039,temp,NA
4.21,1040,temp,NA
4.21,1041,temp,NA
4.21,1042,temp,NA
4.21,1043,temp,NA
4.21,1044,temp,NA
4.21,1045,temp,NA
4.21,1046,temp,NA
4.21,1047,temp,NA
4.21,1048,temp,NA
4.21,1049,temp,NA
4.21,1050,temp,NA
4.21,1051,temp,NA
4.21,1052,temp,NA
4.21,1053,temp,NA
4.21,1054,temp,NA
4.21,1055,temp,NA
4.21,1056,temp,NA
4.21,1057,temp,NA
4.21,1058,temp,NA
4.21,1059,temp,NA
4.21,1060,temp,NA
4.21,1061,temp,NA
4.21,1062,temp,NA
4.21,1063,temp,NA
4.21,1064,temp,NA
-0,1065,temp,NA
-0,1066,temp,NA
-0,1067,temp,NA
-0,1068,temp,NA
-0,1069,temp,NA
-0,1070,temp,NA
-0,1071,temp,NA
-0,1072,temp,NA
-0,1073,temp,NA
-0,1074,temp,NA
-0,1075,temp,NA
-0,1076,temp,NA
-0,1077,temp,NA
-0,1078,temp,NA
-0,1079,temp,NA
-0,1080,temp,NA
-0,1081,temp,NA
-0,1082,temp,NA
-0,1083,temp,NA
-0,1084,temp,NA
-0,1085,temp,NA
-0,1086,temp,NA
-0,1087,temp,NA
-0,1088,temp,NA
-0,1089,temp,NA
-0,1090,temp,NA
-0,1091,temp,NA
-0,1092,temp,NA
-0,1093,temp,NA
-0,1094,temp,NA
-0,1095,temp,NA
-0,1096,temp,NA
-0,1097,temp,NA
-0,1098,temp,NA
-0,1099,temp,NA
-0,1100,temp,NA
-0,1101,temp,NA
-0,1102,temp,NA
-0,1103,temp,NA
-0,1104,temp,NA
-0,1105,temp,NA
-0,1106,temp,NA
-0,1107,temp,NA
-0,1108,temp,NA
-0,1109,temp,NA
-0,1110,temp,NA
-0,1111,temp,NA
-0,1112,temp,NA
-0,1113,temp,NA
-0,1114,temp,NA
-0,1115,temp,NA
-0,1116,temp,NA
-0,1117,temp,NA
-0,1118,temp,NA
-0,1119,temp,NA
-0,1120,temp,NA
-0,1121,temp,NA
-0,1122,temp,NA
-0,1123,temp,NA
-0,1124,temp,NA
-0,1125,temp,NA
-0,1126,temp,NA
-0,1127,temp,NA
-0,1128,temp,NA
-0,1129,temp,NA
-0,1130,temp,NA
-0,1131,temp,NA
-0,1132,temp,NA
-0,1133,temp,NA
-0,1134,temp,NA
-0,1135,temp,NA
-0,1136,temp,NA
-0,1137,temp,NA
-0,1138,temp,NA
-0,1139,temp,NA
-0,1140,temp,NA
-0,1141,temp,NA
-0,1142,temp,NA
-0,1143,temp,NA
-0,1144,temp,NA
-0,1145,temp,NA
-0,1146,temp,NA
-0,1147,temp,NA
-0,1148,temp,NA
-0,1149,temp,NA
-0,1150,temp,NA
-0,1151,temp,NA
-0,1152,temp,NA
-0,1153,temp,NA
-0,1154,temp,NA
0.26,1155,temp,NA
0.26,1156,temp,NA
0.26,1157,temp,NA
0.26,1158,temp,NA
0.26,1159,temp,NA
0.26,1160,temp,NA
0.26,1161,temp,NA
0.26,1162,temp,NA
0.26,1163,temp,NA
0.26,1164,temp,NA
0.26,1165,temp,NA
0.26,1166,temp,NA
0.26,1167,temp,NA
0.26,1168,temp,NA
0.26,1169,temp,NA
0.26,1170,temp,NA
0.26,1171,temp,NA
0.26,1172,temp,NA
0.26,1173,temp,NA
